PublicationDate,PropertyNumber,County,LocalAuthority,Category,Uses,Address1,Address2,Address3,Address4,Address5,CarPark,ValuationReport__Level,ValuationReport__FloorUse,ValuationReport__Area,ValuationReport__NavPerM2,ValuationReport__Nav
17/09/2019,746435,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",24I (SECOND FLOOR) FLORENCE TERRACE,BRAY,CO. WICKLOW,,,0,2,OFFICE(S),9,0,0
,,,,,,,,,,,,2,OFFICE(S),1,1200,1200
17/09/2019,746436,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",24J (SECOND FLOOR) FLORENCE TERRACE,BRAY,CO. WICKLOW,,,0,2,OFFICE(S),9,0,0
,,,,,,,,,,,,2,OFFICE(S),1,1200,1200
17/09/2019,1141369,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",51/UNIT 1 BLESSINGTON,BLESSINGTON,CO. WICKLOW,,,0,MEZZ,OFFICE(S),9,56,504
,,,,,,,,,,,,0,OFFICE(S),22.6,80,1808
17/09/2019,2164423,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OFFICE PARK), -",LOCAL NO/MAP REF: 7A/A/B UNIT E (0),GLENCORMICK S,KILMACANOGUE,RATHDOWN 2 CO. WICKLOW,,0,0,OFFICE(S),211.16,80,16892.8
17/09/2019,2193886,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",14B GLENSIDE ROAD,WICKLOW,CO. WICKLOW,,,0,0,OFFICE(S),50.58,90,4552.2
17/09/2019,2176388,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",UNIT 8 BRAY SOUTH BUS PARK,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),260,66,17160
,,,,,,,,,,,,1,OFFICE(S),94,66,6204
,,,,,,,,,,,,MEZZ   ,OFFICE(S),166,26.4,4382.4
17/09/2019,662671,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",FIRST FLOOR 6 WENTWORTH PLACE,WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),98.65,63,6214.95
17/09/2019,2207457,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (BUSINESS PARK), -",LOCAL NO/MAP REF: UNIT 21 BLOCK 1 BROOMHALL BUSINESS PARK,MERRYMEETING,WICKLOW RURAL,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),74.59,80,5967.2
,,,,,,,,,,,,1,OFFICE(S),311.11,80,24888.8
,,,,,,,,,,,,1,OFFICE(S),-22.41,80,-1792.8
,,,,,,,,,,,,0,OFFICE(S),-18.16,80,-1452.8
17/09/2019,2207689,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -",BLOCK D CIVIC CENTRE (FLR 2 PT OF) MAIN STREET,BRAY,CO. WICKLOW,,,4,2,OFFICE(S),190.95,120,22914
,,,,,,,,,,,,-1,CAR SPACES (NO. OF),4,150,600
17/09/2019,2207708,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",KILLARNEY ROAD,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),56.5,68.4,3864.6
17/09/2019,746432,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",1ST FLOOR FLORENCE CENTRE,FLORENCE TERRACE,BRAY,CO.WICKLOW,,0,1,OFFICE(S),81.72,90,7354.8
17/09/2019,1141373,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",51/UNIT 4 BLESSINGTON BUSINESS CENTRE,BLESSINGTON,CO. WICKLOW,,,0,0,OFFICE(S),53.4,80,4272
,,,,,,,,,,,,MEZZ,OFFICE(S),21.6,56,1209.6
17/09/2019,1141537,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",48(2 FRONT) MAIN STREET,BRAY,CO. WICKLOW,,,0,2,OFFICE(S),39.95,63,2516.85
17/09/2019,2164402,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",4F/UNIT 3 (1) KILCOOLE,KILCOOLE,CO. WICKLOW,,,0,1,OFFICE(S),70.3,56,3936.8
17/09/2019,2164427,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: 1C (0),KINDLESTOWN LR GT,GREYSTONES,RATHDOWN 2 CO. WICKLOW,,0,0,OFFICE(S),8.15,120,978
,,,,,,,,,,,,0,OFFICE(S),1,222,222
17/09/2019,2164609,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",35B (1) VEVAY ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),114.06,90,10265.4
,,,,,,,,,,,,1,ALLOWANCE,-1,2053.08,-2053.08
17/09/2019,656452,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",29 PRINCE OF WALES TERRACE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),54.86,120,6583.2
,,,,,,,,,,,,0,KITCHEN,11.98,120,1437.6
,,,,,,,,,,,,1,OFFICE(S),81.33,84,6831.72
,,,,,,,,,,,,2,OFFICE(S),57.95,59,3419.05
,,,,,,,,,,,,2,STORE,8.25,59,486.75
,,,,,,,,,,,,-1,OFFICE(S),48.11,84,4041.24
,,,,,,,,,,,,-1,STORE,34.13,84,2866.92
17/09/2019,2161258,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",39C/4 PRINCE OF WALES TERRACE,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),85.08,84,7146.72
17/09/2019,634874,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",17/48 49 MAIN STREET,KILCOOLE,CO. WICKLOW,,,0,0,OFFICE(S),59,80,4720
17/09/2019,638804,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: 14K,ASHTOWN,TOGHER,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),79.48,60,4768.8
17/09/2019,746425,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",52BC/UNIT 5 (FIRST FLOOR) MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),69.6,90,6264
17/09/2019,1141628,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",1F BRAY BUSINESS PARK,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),1009.18,60,60550.8
,,,,,,,,,,,,0,STORE,105.2,60,6312
,,,,,,,,,,,,1,OFFICE(S),1112.09,60,66725.4
,,,,,,,,,,,,2,OFFICE(S),341.26,60,20475.6
,,,,,,,,,,,,2,STORE,326,60,19560
,,,,,,,,,,,,0,BOILER HOUSE / PLANT,12.3,60,738
17/09/2019,2164428,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: 1C (0),KINDLESTOWN LR GT,GREYSTONES,RATHDOWN 2 CO. WICKLOW,,0,0,SURGERY,11.21,120,1345.2
17/09/2019,2164562,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",46 REAR (1) MAIN STREET,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),45.84,70,3208.8
,,,,,,,,,,,,1,KITCHEN,2,70,140
